,YearEnd,LocationAbbr,LocationDesc,DataValue,Stratification1
52933,2013,DE,Delaware,11.2,Female
52955,2019,DE,Delaware,11.7,Female
52959,2016,DE,Delaware,0.0,"Other, non-Hispanic"
52973,2018,DE,Delaware,8.0,"Other, non-Hispanic"
52978,2011,DE,Delaware,10.0,Male
53061,2013,DE,Delaware,10.9,Male
53169,2018,DE,Delaware,6.9,Hispanic
53172,2011,DE,Delaware,9.4,Female
53184,2012,DE,Delaware,9.6,Overall
53195,2017,DE,Delaware,12.1,Male
53198,2014,DE,Delaware,11.1,Overall
53229,2016,DE,Delaware,10.6,Overall
53276,2015,DE,Delaware,12.2,Male
53492,2015,DE,Delaware,0.0,"Other, non-Hispanic"
53494,2014,DE,Delaware,7.1,Hispanic
53517,2016,DE,Delaware,7.5,Hispanic
53553,2011,DE,Delaware,0.0,"Other, non-Hispanic"
53696,2014,DE,Delaware,15.8,"Black, non-Hispanic"
53699,2016,DE,Delaware,13.0,"Black, non-Hispanic"
53746,2018,DE,Delaware,15.3,"Black, non-Hispanic"
53761,2017,DE,Delaware,12.9,"Other, non-Hispanic"
53794,2019,DE,Delaware,12.8,Overall
53865,2016,DE,Delaware,0.0,"Multiracial, non-Hispanic"
53883,2013,DE,Delaware,11.1,Overall
53899,2012,DE,Delaware,8.6,Female
53950,2015,DE,Delaware,11.5,Overall
53970,2019,DE,Delaware,17.5,"Black, non-Hispanic"
53977,2014,DE,Delaware,14.2,"Multiracial, non-Hispanic"
53989,2018,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54037,2017,DE,Delaware,11.3,Overall
54110,2012,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54139,2011,DE,Delaware,9.2,"White, non-Hispanic"
54178,2019,DE,Delaware,10.6,Hispanic
54214,2018,DE,Delaware,11.9,Overall
54222,2011,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54246,2017,DE,Delaware,11.6,"Black, non-Hispanic"
54284,2013,DE,Delaware,4.3,Hispanic
54355,2015,DE,Delaware,6.9,Hispanic
54383,2019,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54423,2017,DE,Delaware,9.7,Hispanic
54507,2015,DE,Delaware,15.1,"Black, non-Hispanic"
54538,2013,DE,Delaware,16.2,"Black, non-Hispanic"
54574,2016,DE,Delaware,10.2,Female
54600,2011,DE,Delaware,13.4,"Black, non-Hispanic"
54618,2017,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54677,2019,DE,Delaware,11.9,"White, non-Hispanic"
54707,2014,DE,Delaware,10.6,Female
54781,2018,DE,Delaware,10.8,Female
54782,2011,DE,Delaware,0.0,Hispanic
54784,2012,DE,Delaware,0.0,"Other, non-Hispanic"
54856,2013,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54878,2015,DE,Delaware,0.0,"Multiracial, non-Hispanic"
54955,2017,DE,Delaware,11.2,"White, non-Hispanic"
55142,2015,DE,Delaware,11.0,"White, non-Hispanic"
55165,2011,DE,Delaware,9.7,Overall
55288,2013,DE,Delaware,10.8,"White, non-Hispanic"
55308,2014,FL,Florida,11.2,Overall
55321,2012,FL,Florida,11.4,Overall
55339,2019,FL,Florida,0.0,"Other, non-Hispanic"
55427,2016,FL,Florida,11.8,Overall
55492,2014,FL,Florida,14.1,"Black, non-Hispanic"
55512,2012,FL,Florida,12.2,Hispanic
55543,2018,FL,Florida,12.6,Overall
55571,2017,FL,Florida,10.6,Male
55625,2015,FL,Florida,8.6,"Other, non-Hispanic"
55670,2013,FL,Florida,6.7,"Other, non-Hispanic"
55683,2019,FL,Florida,16.0,"Black, non-Hispanic"
55702,2017,FL,Florida,10.8,"Other, non-Hispanic"
55721,2019,FL,Florida,12.7,Male
55751,2015,FL,Florida,11.7,Male
55800,2013,FL,Florida,12.3,Male
55817,2011,FL,Florida,10.4,Overall
55821,2017,FL,Florida,11.2,"Black, non-Hispanic"
55859,2017,FL,Florida,10.8,"White, non-Hispanic"
55953,2011,FL,Florida,14.2,"Multiracial, non-Hispanic"
55986,2015,FL,Florida,13.2,"Black, non-Hispanic"
55996,2013,FL,Florida,12.3,"Black, non-Hispanic"
56015,2019,FL,Florida,11.5,"White, non-Hispanic"
56025,2016,FL,Florida,6.7,"Multiracial, non-Hispanic"
56028,2011,FL,Florida,9.8,Hispanic
56031,2015,FL,Florida,11.8,"White, non-Hispanic"
56084,2013,FL,Florida,11.4,"White, non-Hispanic"
56191,2018,FL,Florida,0.0,"Multiracial, non-Hispanic"
56242,2014,FL,Florida,9.6,"Multiracial, non-Hispanic"
56256,2012,FL,Florida,0.0,"Multiracial, non-Hispanic"
56270,2012,FL,Florida,10.4,Female
56288,2011,FL,Florida,12.9,"Black, non-Hispanic"
56361,2015,FL,Florida,0.0,"Multiracial, non-Hispanic"
56408,2018,FL,Florida,12.2,"White, non-Hispanic"
56411,2016,FL,Florida,11.6,"White, non-Hispanic"
56456,2014,FL,Florida,11.5,Female
56462,2016,FL,Florida,11.0,Female
56526,2018,FL,Florida,11.7,Female
56596,2017,FL,Florida,11.5,"Multiracial, non-Hispanic"
56606,2012,FL,Florida,10.6,"White, non-Hispanic"
56618,2019,FL,Florida,15.3,"Multiracial, non-Hispanic"
56695,2011,FL,Florida,10.2,"White, non-Hispanic"
56709,2013,FL,Florida,10.8,Hispanic
56753,2017,FL,Florida,9.8,Hispanic
56758,2019,FL,Florida,10.6,Hispanic
56799,2015,FL,Florida,9.3,Hispanic
56828,2013,FL,Florida,15.1,"Multiracial, non-Hispanic"
56978,2011,FL,Florida,11.1,Male
56987,2013,FL,Florida,11.2,Overall
56992,2017,FL,Florida,10.5,Overall
57027,2013,FL,Florida,10.1,Female
57031,2014,FL,Florida,10.8,Male
57050,2019,FL,Florida,11.7,Overall
57069,2015,FL,Florida,11.3,Overall
57103,2017,FL,Florida,10.5,Female
57115,2011,FL,Florida,5.9,"Other, non-Hispanic"
57130,2019,FL,Florida,10.7,Female
57157,2015,FL,Florida,10.9,Female
57201,2016,FL,Florida,12.5,Male
57211,2016,FL,Florida,14.6,"Black, non-Hispanic"
57252,2011,FL,Florida,9.7,Female
57257,2018,FL,Florida,13.6,Male
57290,2014,FL,Florida,10.8,"White, non-Hispanic"
57303,2014,FL,Florida,11.3,Hispanic
57312,2012,FL,Florida,8.2,"Other, non-Hispanic"
57324,2012,FL,Florida,13.2,"Black, non-Hispanic"
57344,2016,FL,Florida,11.7,"Other, non-Hispanic"
57348,2016,FL,Florida,11.0,Hispanic
57402,2018,FL,Florida,11.5,"Other, non-Hispanic"
57403,2018,FL,Florida,11.8,Hispanic
57423,2018,FL,Florida,15.4,"Black, non-Hispanic"
57446,2014,FL,Florida,8.2,"Other, non-Hispanic"
57456,2012,FL,Florida,12.4,Male
57492,2014,GA,Georgia,11.5,Female
57500,2012,GA,Georgia,9.9,Overall
57506,2016,GA,Georgia,12.3,Female
57542,2012,GA,Georgia,9.8,"White, non-Hispanic"
57566,2011,GA,Georgia,8.5,"Other, non-Hispanic"
57574,2018,GA,Georgia,12.9,Female
57608,2013,GA,Georgia,9.8,Male
57666,2015,GA,Georgia,11.3,Male
57674,2011,GA,Georgia,9.8,Male
57709,2013,GA,Georgia,0.0,"Other, non-Hispanic"
57724,2019,GA,Georgia,7.7,"Other, non-Hispanic"
57733,2011,GA,Georgia,11.8,"Black, non-Hispanic"
57743,2019,GA,Georgia,11.3,"White, non-Hispanic"
57778,2015,GA,Georgia,17.9,"Other, non-Hispanic"
57794,2017,GA,Georgia,9.7,"Other, non-Hispanic"
57804,2019,GA,Georgia,11.0,Male
57806,2012,GA,Georgia,0.0,"Multiracial, non-Hispanic"
57807,2012,GA,Georgia,6.6,Hispanic
57828,2015,GA,Georgia,10.5,"White, non-Hispanic"
57834,2013,GA,Georgia,9.9,"White, non-Hispanic"
57900,2017,GA,Georgia,10.8,Male
57937,2017,GA,Georgia,6.7,Hispanic
57977,2019,GA,Georgia,7.2,Hispanic
57993,2016,GA,Georgia,0.0,"Multiracial, non-Hispanic"
58011,2014,GA,Georgia,0.0,"Multiracial, non-Hispanic"
58040,2018,GA,Georgia,7.7,"Multiracial, non-Hispanic"
58060,2015,GA,Georgia,0.0,Hispanic
58074,2013,GA,Georgia,7.2,Hispanic
58112,2017,GA,Georgia,11.9,"White, non-Hispanic"
58152,2018,GA,Georgia,12.6,Overall
58168,2015,GA,Georgia,13.3,"Black, non-Hispanic"
58204,2013,GA,Georgia,13.7,"Black, non-Hispanic"
58260,2017,GA,Georgia,11.5,"Black, non-Hispanic"
58270,2014,GA,Georgia,10.9,"White, non-Hispanic"
58283,2011,GA,Georgia,6.3,Hispanic
58296,2019,GA,Georgia,15.0,"Black, non-Hispanic"
58317,2016,GA,Georgia,12.1,Overall
58324,2014,GA,Georgia,11.6,Overall
58326,2011,GA,Georgia,10.1,"White, non-Hispanic"
58364,2015,GA,Georgia,0.0,"Multiracial, non-Hispanic"
58367,2016,GA,Georgia,12.6,"White, non-Hispanic"
58372,2011,GA,Georgia,0.0,"Multiracial, non-Hispanic"
58373,2018,GA,Georgia,9.2,Hispanic
58403,2013,GA,Georgia,10.5,"Multiracial, non-Hispanic"
58444,2011,GA,Georgia,10.5,Female
58474,2011,GA,Georgia,10.2,Overall
58491,2017,GA,Georgia,0.0,"Multiracial, non-Hispanic"
58501,2019,GA,Georgia,0.0,"Multiracial, non-Hispanic"
58509,2014,GA,Georgia,6.1,Hispanic
58512,2012,GA,Georgia,7.5,"Other, non-Hispanic"
58515,2018,GA,Georgia,12.0,"White, non-Hispanic"
58580,2017,GA,Georgia,11.4,Overall
58619,2012,GA,Georgia,9.8,Male
58622,2012,GA,Georgia,10.0,Female
58637,2016,GA,Georgia,9.1,Hispanic
58646,2014,GA,Georgia,14.4,"Black, non-Hispanic"
58651,2019,GA,Georgia,12.0,Overall
58703,2015,GA,Georgia,11.3,Overall
58707,2018,GA,Georgia,15.1,"Black, non-Hispanic"
58738,2013,GA,Georgia,10.8,Overall
58743,2016,GA,Georgia,13.2,"Black, non-Hispanic"
58779,2013,GA,Georgia,11.7,Female
58792,2019,GA,Georgia,12.8,Female
58853,2017,GA,Georgia,11.8,Female
58859,2015,GA,Georgia,11.3,Female
58910,2014,GA,Georgia,11.6,Male
58995,2016,GA,Georgia,11.8,Male
59008,2012,GA,Georgia,11.5,"Black, non-Hispanic"
59021,2014,GA,Georgia,0.0,"Other, non-Hispanic"
59038,2018,GA,Georgia,11.5,"Other, non-Hispanic"
59117,2016,GA,Georgia,0.0,"Other, non-Hispanic"
59155,2018,GA,Georgia,12.3,Male
59219,2013,HI,Hawaii,8.4,Female
59229,2017,HI,Hawaii,10.9,Overall
59242,2015,HI,Hawaii,8.7,Male
59244,2018,HI,Hawaii,10.6,Female
59285,2011,HI,Hawaii,8.4,Overall
59296,2011,HI,Hawaii,8.3,Male
59307,2013,HI,Hawaii,8.4,Overall
59309,2011,HI,Hawaii,8.6,Female
59428,2019,HI,Hawaii,11.3,Male
59439,2018,HI,Hawaii,0.0,"Black, non-Hispanic"
59466,2015,HI,Hawaii,8.4,Female
59488,2013,HI,Hawaii,8.3,Male
59697,2018,HI,Hawaii,14.5,"Other, non-Hispanic"
59905,2018,HI,Hawaii,5.8,"White, non-Hispanic"
59915,2012,HI,Hawaii,0.0,"Black, non-Hispanic"
59927,2014,HI,Hawaii,0.0,"Black, non-Hispanic"
59949,2016,HI,Hawaii,0.0,"Black, non-Hispanic"
59959,2017,HI,Hawaii,11.4,Female
60051,2019,HI,Hawaii,9.7,Female
60084,2012,HI,Hawaii,7.7,Female
60143,2016,HI,Hawaii,11.0,Male
60176,2014,HI,Hawaii,10.1,Male
60182,2016,HI,Hawaii,5.9,"White, non-Hispanic"
60199,2018,HI,Hawaii,11.2,"Multiracial, non-Hispanic"
60330,2012,HI,Hawaii,7.8,Male
60385,2016,HI,Hawaii,10.0,Female
60410,2016,HI,Hawaii,13.0,"Other, non-Hispanic"
60411,2014,HI,Hawaii,9.4,Female
60608,2015,HI,Hawaii,8.5,Overall
60609,2014,HI,Hawaii,4.4,"White, non-Hispanic"
60625,2017,HI,Hawaii,10.3,Male
60739,2012,HI,Hawaii,4.2,"White, non-Hispanic"
60786,2019,HI,Hawaii,10.5,Overall
61009,2019,HI,Hawaii,12.8,"Multiracial, non-Hispanic"
61027,2017,HI,Hawaii,5.2,"White, non-Hispanic"
61039,2015,HI,Hawaii,9.7,Hispanic
61225,2011,HI,Hawaii,9.3,"Multiracial, non-Hispanic"
61268,2018,HI,Hawaii,10.8,Hispanic
61274,2015,HI,Hawaii,8.7,"Multiracial, non-Hispanic"
61300,2017,HI,Hawaii,14.1,"Other, non-Hispanic"
61305,2013,HI,Hawaii,8.7,"Multiracial, non-Hispanic"
61350,2011,HI,Hawaii,6.6,Hispanic
61375,2015,HI,Hawaii,4.5,"White, non-Hispanic"
61393,2017,HI,Hawaii,7.2,Hispanic
61428,2012,HI,Hawaii,9.3,"Other, non-Hispanic"
61466,2019,HI,Hawaii,0.0,"Black, non-Hispanic"
61490,2013,HI,Hawaii,8.8,Hispanic
61585,2013,HI,Hawaii,4.2,"White, non-Hispanic"
61710,2014,HI,Hawaii,13.0,"Other, non-Hispanic"
61756,2018,HI,Hawaii,11.5,Overall
61762,2011,HI,Hawaii,4.7,"White, non-Hispanic"
61777,2016,HI,Hawaii,7.6,Hispanic
61789,2014,HI,Hawaii,10.7,"Multiracial, non-Hispanic"
61832,2016,HI,Hawaii,10.5,Overall
61953,2012,HI,Hawaii,7.8,Overall
61957,2019,HI,Hawaii,6.2,"White, non-Hispanic"
62001,2016,HI,Hawaii,11.5,"Multiracial, non-Hispanic"
62040,2017,HI,Hawaii,0.0,"Black, non-Hispanic"
62044,2018,HI,Hawaii,12.4,Male
62050,2014,HI,Hawaii,9.8,Overall
62128,2019,HI,Hawaii,10.8,Hispanic
62197,2012,HI,Hawaii,8.1,"Multiracial, non-Hispanic"
62220,2013,HI,Hawaii,10.5,"Other, non-Hispanic"
62251,2015,HI,Hawaii,0.0,"Black, non-Hispanic"
62382,2012,HI,Hawaii,8.8,Hispanic
62405,2011,HI,Hawaii,10.7,"Other, non-Hispanic"
62460,2015,HI,Hawaii,10.5,"Other, non-Hispanic"
62478,2014,HI,Hawaii,8.2,Hispanic
62480,2017,HI,Hawaii,12.1,"Multiracial, non-Hispanic"
62576,2013,HI,Hawaii,0.0,"Black, non-Hispanic"
62607,2011,HI,Hawaii,0.0,"Black, non-Hispanic"
62620,2019,HI,Hawaii,12.2,"Other, non-Hispanic"
62635,2015,IA,Iowa,11.3,Hispanic
62670,2017,IA,Iowa,6.8,Hispanic
62675,2013,IA,Iowa,0.0,Hispanic
62690,2013,IA,Iowa,9.5,"White, non-Hispanic"
62710,2019,IA,Iowa,6.3,Hispanic
62744,2012,IA,Iowa,9.7,Overall
62754,2014,IA,Iowa,0.0,"Multiracial, non-Hispanic"
62842,2016,IA,Iowa,9.5,Female
62876,2017,IA,Iowa,9.9,"White, non-Hispanic"
62951,2015,IA,Iowa,8.7,"White, non-Hispanic"
62964,2012,IA,Iowa,7.7,Hispanic
62989,2018,IA,Iowa,9.8,Female
62995,2017,IA,Iowa,0.0,"Multiracial, non-Hispanic"
63012,2014,IA,Iowa,8.8,Female
63026,2019,IA,Iowa,0.0,"Multiracial, non-Hispanic"
63033,2019,IA,Iowa,10.4,"White, non-Hispanic"
63080,2012,IA,Iowa,15.0,"Black, non-Hispanic"
63092,2011,IA,Iowa,0.0,Hispanic
63110,2018,IA,Iowa,10.1,Male
63145,2011,IA,Iowa,8.0,Female
63175,2011,IA,Iowa,8.2,Overall
63192,2015,IA,Iowa,0.0,"Multiracial, non-Hispanic"
63200,2017,IA,Iowa,11.6,"Black, non-Hispanic"
63206,2016,IA,Iowa,9.1,Male
63246,2013,IA,Iowa,0.0,"Multiracial, non-Hispanic"
63273,2019,IA,Iowa,15.2,"Black, non-Hispanic"
63408,2015,IA,Iowa,7.4,"Black, non-Hispanic"
63418,2011,IA,Iowa,0.0,"Multiracial, non-Hispanic"
63446,2013,IA,Iowa,0.0,"Black, non-Hispanic"
63456,2012,IA,Iowa,9.9,"Other, non-Hispanic"
63525,2016,IA,Iowa,0.0,"Other, non-Hispanic"
63539,2019,IA,Iowa,11.1,Male
63548,2016,IA,Iowa,0.0,"Black, non-Hispanic"
63593,2017,IA,Iowa,9.4,Male
63606,2013,IA,Iowa,9.3,Male
63679,2015,IA,Iowa,9.7,Male
63686,2014,IA,Iowa,16.1,"Other, non-Hispanic"
63711,2018,IA,Iowa,7.3,"Other, non-Hispanic"
63736,2013,IA,Iowa,9.3,Overall
63748,2019,IA,Iowa,10.3,Overall
63778,2012,IA,Iowa,10.4,Male
63786,2014,IA,Iowa,10.1,Male
63820,2018,IA,Iowa,14.9,"Black, non-Hispanic"
63836,2014,IA,Iowa,15.0,"Black, non-Hispanic"
63872,2015,IA,Iowa,8.8,Overall
63904,2017,IA,Iowa,9.6,Overall
63941,2013,IA,Iowa,0.0,"Other, non-Hispanic"
63943,2014,IA,Iowa,0.0,Hispanic
63984,2015,IA,Iowa,0.0,"Other, non-Hispanic"
63995,2011,IA,Iowa,8.2,"White, non-Hispanic"
64050,2019,IA,Iowa,8.0,"Other, non-Hispanic"
64051,2011,IA,Iowa,8.2,"Black, non-Hispanic"
64100,2012,IA,Iowa,9.0,Female
64111,2011,IA,Iowa,8.4,Male
64114,2016,IA,Iowa,7.2,Hispanic
64116,2017,IA,Iowa,0.0,"Other, non-Hispanic"
64126,2018,IA,Iowa,9.4,Hispanic
64133,2013,IA,Iowa,9.4,Female
64144,2012,IA,Iowa,0.0,"Multiracial, non-Hispanic"
64164,2018,IA,Iowa,10.0,Overall
64168,2018,IA,Iowa,9.9,"White, non-Hispanic"
64193,2015,IA,Iowa,7.9,Female
64201,2014,IA,Iowa,9.5,Overall
64206,2016,IA,Iowa,9.5,"White, non-Hispanic"
64212,2011,IA,Iowa,0.0,"Other, non-Hispanic"
64219,2016,IA,Iowa,0.0,"Multiracial, non-Hispanic"
64233,2018,IA,Iowa,14.2,"Multiracial, non-Hispanic"
64240,2012,IA,Iowa,9.5,"White, non-Hispanic"
64274,2019,IA,Iowa,9.5,Female
64309,2014,IA,Iowa,9.4,"White, non-Hispanic"
64317,2017,IA,Iowa,9.7,Female
64319,2016,IA,Iowa,9.3,Overall
64343,2013,ID,Idaho,8.4,Overall
64366,2019,ID,Idaho,10.0,Female
64387,2011,ID,Idaho,9.4,Overall
64404,2019,ID,Idaho,14.4,Hispanic
64411,2014,ID,Idaho,7.8,Male
64419,2015,ID,Idaho,8.1,Overall
64427,2018,ID,Idaho,0.0,"Black, non-Hispanic"
64460,2014,ID,Idaho,0.0,"Black, non-Hispanic"
64467,2019,ID,Idaho,10.3,Overall
64490,2012,ID,Idaho,0.0,"Black, non-Hispanic"
64528,2011,ID,Idaho,10.3,Hispanic
64534,2017,ID,Idaho,8.7,Overall
64596,2015,ID,Idaho,7.4,Male
64609,2017,ID,Idaho,8.3,Male
64611,2017,ID,Idaho,10.3,Hispanic
64621,2013,ID,Idaho,7.2,Hispanic
64658,2012,ID,Idaho,0.0,"Other, non-Hispanic"
64669,2018,ID,Idaho,9.9,"White, non-Hispanic"
64670,2018,ID,Idaho,12.0,"Other, non-Hispanic"
64683,2016,ID,Idaho,9.1,"Other, non-Hispanic"
64695,2013,ID,Idaho,9.4,Male
64717,2015,ID,Idaho,6.7,Hispanic
64742,2011,ID,Idaho,10.3,Male
64750,2016,ID,Idaho,0.0,"Black, non-Hispanic"
64764,2014,ID,Idaho,0.0,"Other, non-Hispanic"
64814,2017,ID,Idaho,0.0,"Black, non-Hispanic"
64845,2012,ID,Idaho,8.5,Overall
64878,2014,ID,Idaho,7.6,Overall
64923,2016,ID,Idaho,8.9,Overall
64936,2016,ID,Idaho,0.0,"Multiracial, non-Hispanic"
64940,2019,ID,Idaho,0.0,"Other, non-Hispanic"
64968,2013,ID,Idaho,0.0,"Black, non-Hispanic"
64999,2015,ID,Idaho,0.0,"Black, non-Hispanic"
65006,2014,ID,Idaho,7.0,Hispanic
65029,2012,ID,Idaho,0.0,Hispanic
65058,2016,ID,Idaho,9.0,Hispanic
65072,2019,ID,Idaho,10.6,Male
65083,2011,ID,Idaho,0.0,"Black, non-Hispanic"
65085,2011,ID,Idaho,0.0,"Other, non-Hispanic"
65148,2015,ID,Idaho,0.0,"Other, non-Hispanic"
65149,2017,ID,Idaho,0.0,"Other, non-Hispanic"
65167,2013,ID,Idaho,0.0,"Other, non-Hispanic"
65189,2018,ID,Idaho,10.8,Hispanic
65219,2015,ID,Idaho,8.2,"White, non-Hispanic"
65226,2017,ID,Idaho,8.2,"White, non-Hispanic"
65268,2019,ID,Idaho,9.6,"White, non-Hispanic"
65292,2012,ID,Idaho,7.7,Female
65307,2017,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65323,2016,ID,Idaho,9.0,Female
65337,2018,ID,Idaho,10.0,Female
65367,2014,ID,Idaho,7.5,Female
65377,2019,ID,Idaho,0.0,"Black, non-Hispanic"
65408,2015,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65409,2011,ID,Idaho,9.0,"White, non-Hispanic"
65471,2013,ID,Idaho,8.4,"White, non-Hispanic"
65484,2018,ID,Idaho,10.2,Overall
65486,2018,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65537,2014,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65579,2012,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65644,2019,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65691,2015,ID,Idaho,8.7,Female
65733,2016,ID,Idaho,8.8,"White, non-Hispanic"
65754,2013,ID,Idaho,7.3,Female
65781,2014,ID,Idaho,7.7,"White, non-Hispanic"
65835,2017,ID,Idaho,9.2,Female
65839,2016,ID,Idaho,8.8,Male
65856,2012,ID,Idaho,8.5,"White, non-Hispanic"
65878,2018,ID,Idaho,10.3,Male
65962,2013,ID,Idaho,0.0,"Multiracial, non-Hispanic"
65983,2011,ID,Idaho,8.5,Female
65988,2011,ID,Idaho,0.0,"Multiracial, non-Hispanic"
66036,2012,ID,Idaho,9.3,Male
66070,2017,IL,Illinois,10.5,Female
66079,2016,IL,Illinois,15.8,"Black, non-Hispanic"
66089,2011,IN,Indiana,0.0,"Multiracial, non-Hispanic"
66093,2016,IN,Indiana,11.5,Female
66111,2013,IN,Indiana,11.0,Overall
66113,2016,IN,Indiana,12.7,"Multiracial, non-Hispanic"
66146,2011,IL,Illinois,9.7,Overall
66153,2019,IN,Indiana,9.0,Hispanic
66176,2012,IN,Indiana,10.7,Female
66195,2018,IN,Indiana,14.3,"Multiracial, non-Hispanic"
66209,2016,IL,Illinois,5.9,"Other, non-Hispanic"
66214,2018,IL,Illinois,12.2,"Black, non-Hispanic"
66238,2014,IL,Illinois,7.1,"Other, non-Hispanic"
66280,2017,IN,Indiana,11.8,Overall
66309,2016,IN,Indiana,11.6,Male
66335,2013,IN,Indiana,11.7,"Multiracial, non-Hispanic"
66338,2014,IL,Illinois,14.7,"Black, non-Hispanic"
66357,2011,IN,Indiana,10.2,Overall
66399,2012,IL,Illinois,10.2,"Black, non-Hispanic"
66483,2018,IL,Illinois,8.0,"Other, non-Hispanic"
66556,2012,IL,Illinois,9.4,"White, non-Hispanic"
66561,2018,IN,Indiana,12.5,Overall
66565,2017,IN,Indiana,14.8,"Black, non-Hispanic"
66614,2012,IL,Illinois,9.2,Hispanic
66690,2016,IL,Illinois,11.3,Hispanic
66729,2018,IL,Illinois,9.7,Male
66736,2019,IN,Indiana,17.9,"Black, non-Hispanic"
66760,2011,IL,Illinois,0.0,"Multiracial, non-Hispanic"
66773,2017,IN,Indiana,8.7,Hispanic
66795,2012,IN,Indiana,11.2,Male
66807,2016,IL,Illinois,9.9,Male
66817,2014,IN,Indiana,11.1,Male
66827,2015,IN,Indiana,0.0,"Multiracial, non-Hispanic"
66888,2014,IL,Illinois,10.6,Male
66921,2017,IN,Indiana,10.5,"Multiracial, non-Hispanic"
66928,2013,IL,Illinois,0.0,"Other, non-Hispanic"
66931,2018,IL,Illinois,10.3,Female
66983,2019,IL,Illinois,12.8,"Black, non-Hispanic"
66994,2015,IL,Illinois,14.8,"Black, non-Hispanic"
67013,2014,IN,Indiana,10.7,Overall
67034,2012,IL,Illinois,9.4,Overall
67045,2012,IN,Indiana,10.9,Overall
67050,2015,IN,Indiana,11.1,Hispanic
67066,2016,IN,Indiana,11.4,"White, non-Hispanic"
67080,2015,IL,Illinois,8.5,"Other, non-Hispanic"
67082,2018,IN,Indiana,12.7,"White, non-Hispanic"
67124,2017,IL,Illinois,14.5,"Black, non-Hispanic"
67125,2019,IL,Illinois,6.5,"Other, non-Hispanic"
67166,2019,IN,Indiana,16.3,"Multiracial, non-Hispanic"
67254,2014,IN,Indiana,8.5,"Multiracial, non-Hispanic"
67280,2015,IN,Indiana,14.1,"Black, non-Hispanic"
67281,2012,IN,Indiana,18.2,"Multiracial, non-Hispanic"
67317,2017,IL,Illinois,5.6,"Other, non-Hispanic"
67413,2019,IL,Illinois,11.7,Male
67426,2019,IN,Indiana,12.4,Overall
67428,2018,IN,Indiana,13.5,Male
67456,2011,IL,Illinois,10.3,Hispanic
67470,2015,IL,Illinois,9.1,Female
67479,2014,IN,Indiana,10.3,Female
67480,2013,IN,Indiana,8.9,Hispanic
67496,2015,IN,Indiana,11.4,Overall
67501,2013,IL,Illinois,10.2,Female
67557,2017,IL,Illinois,11.5,Male
67575,2011,IL,Illinois,9.0,"White, non-Hispanic"
67614,2011,IN,Indiana,8.1,Hispanic
67650,2019,IL,Illinois,10.8,Female
67661,2018,IN,Indiana,11.4,Female
67710,2012,IL,Illinois,0.0,"Multiracial, non-Hispanic"
67722,2013,IL,Illinois,9.5,Male
67740,2015,IL,Illinois,10.8,Male
67825,2019,IL,Illinois,10.7,"White, non-Hispanic"
67828,2013,IL,Illinois,10.1,Hispanic
67883,2017,IN,Indiana,11.7,"White, non-Hispanic"
67901,2016,IN,Indiana,8.8,Hispanic
67914,2013,IN,Indiana,12.6,"Other, non-Hispanic"
67960,2019,IN,Indiana,12.1,"White, non-Hispanic"
67990,2018,IN,Indiana,0.0,"Other, non-Hispanic"
67992,2011,IL,Illinois,10.9,Male
68000,2017,IL,Illinois,10.2,"White, non-Hispanic"
68009,2016,IL,Illinois,10.4,Overall
68110,2017,IL,Illinois,13.9,Hispanic
68117,2015,IL,Illinois,9.4,"White, non-Hispanic"
68142,2016,IN,Indiana,7.5,"Other, non-Hispanic"
68148,2013,IN,Indiana,10.8,"White, non-Hispanic"
68174,2016,IN,Indiana,16.2,"Black, non-Hispanic"
68179,2011,IN,Indiana,9.9,"White, non-Hispanic"
68181,2011,IL,Illinois,0.0,"Other, non-Hispanic"
68188,2019,IL,Illinois,14.2,Hispanic
68216,2013,IL,Illinois,9.4,"White, non-Hispanic"
68248,2012,IL,Illinois,8.5,Female
68249,2014,IN,Indiana,4.8,Hispanic
68253,2016,IL,Illinois,0.0,"Multiracial, non-Hispanic"
68267,2015,IN,Indiana,0.0,"Other, non-Hispanic"
68283,2014,IL,Illinois,10.1,Overall
68301,2011,IN,Indiana,12.8,"Black, non-Hispanic"
68338,2017,IN,Indiana,12.4,Male
68353,2016,IL,Illinois,10.8,Female
68363,2011,IN,Indiana,0.0,"Other, non-Hispanic"
68376,2018,IL,Illinois,0.0,"Multiracial, non-Hispanic"
68411,2013,IL,Illinois,13.6,"Black, non-Hispanic"
68417,2019,IN,Indiana,13.6,Male
68430,2014,IL,Illinois,9.7,Female
68460,2012,IN,Indiana,9.9,Hispanic
68503,2014,IL,Illinois,0.0,"Multiracial, non-Hispanic"
68545,2018,IL,Illinois,10.0,Overall
